TriangulumAustrale 15314 -6868 16811 -6903
TriangulumAustrale 15611 -6631 15314 -6868
TriangulumAustrale 15918 -6343 15611 -6631
TriangulumAustrale 16811 -6903 15918 -6343
Triangulum 1885 2958 2158 3498
Triangulum 1885 2958 2288 3385
Triangulum 2158 3498 2288 3385
Tucana 22308 -6026 22455 -6496
Tucana 23289 -5823 22308 -6026
Tucana 23289 -5823 524 -6295
Tucana 23998 -6558 22455 -6496
Tucana 334 -6488 23998 -6558
Tucana 524 -6295 334 -6488
UrsaMajor 11030 5638 11061 6174
UrsaMajor 11061 6174 12256 5703
UrsaMajor 11061 6174 9525 6306
UrsaMajor 11161 4450 10371 4149
UrsaMajor 11308 3309 11303 3153
UrsaMajor 11766 4778 11161 4450
UrsaMajor 11766 4778 11308 3309
UrsaMajor 11896 5369 11030 5638
UrsaMajor 11896 5369 11766 4778
UrsaMajor 12256 5703 11896 5369
UrsaMajor 12900 5596 12256 5703
UrsaMajor 13398 5493 12900 5596
UrsaMajor 13791 4931 13398 5493
UrsaMajor 8986 4805 9548 5168
UrsaMajor 9525 6306 8505 6071
UrsaMajor 9548 5168 9868 5406
UrsaMajor 9850 5903 9525 6306
UrsaMajor 9868 5406 9850 5903
UrsaMinor 14844 7414 15344 7183
UrsaMinor 15344 7183 16291 7575
UrsaMinor 15735 7779 14844 7414
UrsaMinor 16291 7575 15735 7779
UrsaMinor 16766 8203 15735 7779
UrsaMinor 17536 8658 16766 8203
UrsaMinor 2530 8926 17536 8658
Vela 10779 -4941 9948 -5456
Vela 8158 -4734 9133 -4343
Vela 8744 -5469 8158 -4734
Vela 9133 -4343 9368 -5501
Vela 9133 -4343 9511 -4046
Vela 9368 -5501 8744 -5469
Vela 9948 -5456 9368 -5501
Virgo 12331 -66 11845 176
Virgo 12694 -145 12331 -66
Virgo 12694 -145 13420 -1116
Virgo 12926 340 12694 -145
Virgo 13036 1096 12926 340
Virgo 13166 1753 13198 2788
Virgo 13198 2788 12448 2826
Virgo 13420 -1116 14266 -599
Virgo 14026 154 13578 -60
Virgo 14266 -599 14718 -566
Virgo 14718 -566 14769 190
Virgo 14769 190 14026 154
Virgo 15463 2910 15578 2671
Virgo 15548 3136 15463 2910
Virgo 15578 2671 15711 2630
Virgo 15711 2630 15826 2606
Virgo 15826 2606 15960 2688
Virgo 15960 2688 16023 2985
Volans 7146 -7050 7279 -6794
Volans 7279 -6794 8428 -6613
Volans 7696 -7259 7146 -7050
Volans 8131 -6861 7696 -7259
Volans 8428 -6613 8131 -6861
Volans 9039 -6639 8428 -6613
Volans 9183 -5896 9285 -5928
Vulpecula 19478 2466 19269 2138
Vulpecula 19478 2466 19891 2408
